Open,High,Low,Close,Adj Close,Volume
139.990005,141.179993,139.940002,140.580002,140.064575,6315900
140.710007,141.800003,139.830002,141.550003,141.031021,6270700
142,142.639999,141.089996,141.660004,141.140625,5991600
141.699997,142.130005,140.949997,141.559998,141.040985,6031800
141.410004,142.979996,139.770004,141.229996,140.712189,9127700
140.970001,142.470001,140.779999,141.869995,141.349838,6340100
142.5,142.539993,140.710007,141.169998,140.652405,6197300
141.130005,142.119995,140.800003,141.270004,140.752045,4337800
141.520004,142.720001,141.009995,142.429993,141.907791,5315800
142.360001,143.860001,141.460007,142.630005,142.107071,6172400
143,143,141.960007,142.639999,142.11702,5131900
142.479996,143.25,141.660004,142.059998,141.539154,4690500
142.639999,142.850006,142.020004,142.240005,141.718491,3687700
141.199997,142.960007,141.199997,142.550003,142.027359,5441700
142.830002,142.869995,141.669998,142.220001,141.698563,6652800
142.440002,143.899994,142.360001,143.820007,143.292709,6305100
143.380005,143.940002,142.740005,142.839996,142.316284,5100500
144.229996,145.539993,143.990005,145.490005,144.956573,9001800
146.210007,146.470001,144.949997,145.229996,144.697525,6420200
145.910004,146.479996,145.399994,145.580002,145.046249,5270600
146.970001,148.949997,146.25,148.679993,148.134872,12754000
149.509995,151.580002,149.160004,150.009995,149.459991,13818600
149,150.210007,148.809998,149.059998,149.059998,6089700
149.380005,150.360001,149.160004,149.529999,149.529999,5321900
149.679993,151.729996,149.039993,150.75,150.75,15930500
150.399994,152.5,149.100006,150.699997,150.699997,16983400
150.550003,152.570007,149.020004,149.100006,149.100006,9403900
148.330002,150.660004,148,150.110001,150.110001,7543500
150.479996,151.720001,149.75,151.449997,151.449997,6465300
151.529999,151.789993,150.410004,150.449997,150.449997,5388700
150.5,150.5,148.699997,148.899994,148.899994,6276300
148.410004,149.279999,148.029999,148.960007,148.960007,7307100
147.470001,148.270004,146.669998,147.350006,147.350006,7822300
147.509995,147.690002,146.179993,146.520004,146.520004,7691300
146.419998,148,146.020004,147.699997,147.699997,5480200
147.990005,148.440002,147.240005,148.100006,148.100006,8359500
147.559998,147.929993,146.570007,147.779999,147.779999,6352200
148.119995,148.789993,147.690002,148.559998,148.559998,6672700
148.199997,149.649994,147.899994,149.25,149.25,5737300
148.970001,149.169998,147.059998,147.270004,147.270004,8448400
146.949997,148.320007,146.729996,147.460007,147.460007,6502800
147.460007,147.610001,145.839996,146.419998,146.419998,7442900
147.199997,147.240005,145.429993,145.889999,145.889999,5255500
146.520004,147.149994,144.639999,145.059998,145.059998,6509800
145.479996,145.880005,143.919998,144.300003,144.300003,5511300
144.070007,144.75,143.789993,144.550003,144.550003,4950000
144.440002,145.309998,143.690002,145.029999,145.029999,6142800
144.139999,146.160004,144.020004,144.729996,144.729996,24344200
143.5,145.190002,141.619995,142.740005,142.740005,8351500
142.699997,144.580002,142.669998,143.020004,143.020004,5812500
143.470001,143.600006,142.289993,142.690002,142.690002,5014800
143.220001,143.630005,142.449997,142.770004,142.770004,5195100
142.5,143.690002,142.490005,143.169998,143.169998,4453500
142.869995,143.550003,141.839996,142.25,142.25,7083600
141.880005,142.070007,139.990005,140.5,140.5,6860300
140.649994,141.830002,140.320007,140.440002,140.440002,7125200
140.639999,141.729996,139.25,139.380005,139.380005,7485900
139.259995,139.630005,135.919998,137.050003,137.050003,10004800
137.089996,138.229996,134.710007,135.729996,135.729996,9990100
135.949997,137.710007,135.899994,136.619995,136.619995,6865800
136.240005,137.789993,136.130005,137.619995,137.619995,6458900
138.779999,140.699997,138.759995,139.240005,139.240005,7022700
139.660004,140.089996,139.009995,139.660004,139.660004,4615000
139.520004,140.779999,139.440002,139.529999,139.529999,4349400
139.339996,140.410004,139.070007,139.380005,139.380005,5263100
139.5,140.009995,138.130005,138.369995,138.369995,5979300
138.5,140.070007,138.5,139.869995,139.869995,6594500
140.619995,141.100006,139.960007,140.550003,140.550003,6909600
140,142.009995,139.830002,141.679993,141.679993,6629000
144.630005,145.610001,143.660004,144.690002,144.690002,11148100
144.889999,146.490005,144.889999,146,146,5817900
146.580002,146.919998,145.809998,146.809998,146.809998,4651500
147.100006,149.690002,147.100006,148.339996,148.339996,7064400
148.779999,150.520004,148.009995,150.059998,150.059998,6429300
150,150.550003,148.460007,148.75,148.75,5806200
148.960007,149.020004,147.389999,147.529999,147.529999,4853200
148.339996,148.960007,147.830002,148.75,148.75,844132
